GENESIS-Tabelle: 12411-0015
Bevölkerung: Kreise, Stichtag;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016
01001;Flensburg, kreisfreie Stadt;88502;88759;82801;83462;83971;84694;85942;87432
01002;Kiel, kreisfreie Stadt;238281;239526;237667;239866;241533;243148;246306;247441
01003;Lübeck, kreisfreie Stadt;209818;210232;210679;211713;212958;214420;216253;216712
01004;Neumünster, kreisfreie Stadt;76897;76830;77201;76951;77058;77588;79197;79680
01051;Dithmarschen, Landkreis;135279;134798;133487;132965;132665;132685;132917;133560
01053;Herzogtum Lauenburg, Landkreis;186629;186874;187296;187905;189043;190703;192999;195063
01054;Nordfriesland, Landkreis;165771;165480;163029;162237;161923;162203;163960;164926
01055;Ostholstein, Landkreis;204948;204454;197960;197882;197835;198355;199574;200813
01056;Pinneberg, Landkreis;302430;303481;297307;298826;301223;304087;307471;310653
01057;Plön, Landkreis;134573;134291;127212;126721;126643;126865;128304;128703
01058;Rendsburg-Eckernförde, Landkreis;270626;269778;268846;268058;268075;268628;270378;272337
01059;Schleswig-Flensburg, Landkreis;198426;197903;195721;194911;195135;195593;196839;198685
01060;Segeberg, Landkreis;258150;259200;261141;261988;263202;264972;267503;272235
01061;Steinburg, Landkreis;133370;132897;130543;130135;130017;130218;131457;131875
01062;Stormarn, Landkreis;228327;229756;231376;232911;234674;236705;239614;241811
02000;Hamburg, kreisfreie Stadt;1774224;1786448;1718187;1734272;1746342;1762791;1787408;1810438
03101;Braunschweig, kreisfreie Stadt;247400;248867;243829;245798;247227;248502;251364;248667
03102;Salzgitter, kreisfreie Stadt;103446;102394;98588;98095;98197;98966;101079;103668
03103;Wolfsburg, kreisfreie Stadt;121109;121451;120889;121758;122457;123027;124045;123909
03151;Gifhorn, Landkreis;173223;172643;170865;171015;171475;172541;174205;174749
03152;Göttingen, Landkreis (bis 31.10.2016);259281;258255;248025;247988;248249;250220;255653;-
03153;Goslar, Landkreis;144680;143014;139575;138655;137833;137256;138236;137979
03154;Helmstedt, Landkreis;93903;92836;90919;90391;90423;90908;91500;92079
03155;Northeim, Landkreis;140553;139060;136516;135418;134661;133905;134896;133610
03156;Osterode am Harz, Landkreis (bis 31.10.2016);78253;77328;76172;75245;74367;73793;73885;-
03157;Peine, Landkreis;132066;131481;130165;130047;130147;130601;132320;132979
03158;Wolfenbüttel, Landkreis;122806;122040;120425;120117;119900;120035;120981;120904
03159;Göttingen, Landkreis;-;-;-;-;-;-;-;327065
03201;Hannover, kreisfreie Stadt (bis 31.10.2001);-;-;-;-;-;-;-;-
03241;Region Hannover, Landkreis;1130262;1132130;1106219;1112675;1119526;1128037;1144481;1148700
03251;Diepholz, Landkreis;213634;213558;209745;209671;209955;211093;213976;215082
03252;Hameln-Pyrmont, Landkreis;155164;154085;149513;148532;147755;147813;148281;148265
03253;Hannover, Landkreis (bis 31.10.2001);-;-;-;-;-;-;-;-
03254;Hildesheim, Landkreis;284551;282856;276383;275330;274519;274554;277055;277300
03255;Holzminden, Landkreis;74094;73240;73155;72459;71877;71438;71659;71510
