,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbeitslose nach Gemeinden
Bestand an Arbeitslosen nach Rechtskreisen - Insgesamt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Länder, Regierungsbezirke, Kreise und Gemeinden in Deutschland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahresdurchschnitt 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Rechtskreise SGB III und SGB II,,,,,,,,,, Rechtskreis SGB III,,,,,,,,,, Rechtskreis SGB II,,,,,,,,,
,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
, Deutschland,"3,414,531 ","65,476 ","375,800 ","914,376 ","495,804 ","522,026 ","9,321 ","42,116 ","101,080 ","51,427 ","1,189,905 ","23,356 ","184,734 ","374,838 ","240,266 ","120,472 ","1,751 ","15,023 ","24,331 ","15,249 ","2,224,626 ","42,120 ","191,067 ","539,538 ","255,538 ","401,554 ","7,570 ","27,093 ","76,748 ","36,178 "
01, Schleswig-Holstein,"110,341 ","2,762 ","13,020 ","27,112 ","14,446 ","11,634 ",221 ,855 ,"2,093 ",963 ,"38,369 ",914 ,"6,214 ","11,219 ","7,158 ","1,943 ",22 ,184 ,446 ,270 ,"71,972 ","1,848 ","6,806 ","15,893 ","7,287 ","9,690 ",199 ,671 ,"1,647 ",693 
01001000," Flensburg, Stadt","5,530 ",139 ,707 ,"1,140 ",592 ,583 ,15 ,52 ,126 ,74 ,"1,944 ",36 ,266 ,462 ,271 ,168 ,2 ,11 ,56 ,40 ,"3,586 ",103 ,441 ,677 ,320 ,415 ,13 ,41 ,71 ,34 
01002000," Kiel, Landeshauptstadt","13,358 ",255 ,"1,223 ","2,833 ","1,242 ","2,291 ",35 ,132 ,360 ,139 ,"3,032 ",61 ,492 ,735 ,449 ,244 ,1 ,21 ,44 ,27 ,"10,326 ",194 ,731 ,"2,098 ",793 ,"2,047 ",34 ,111 ,316 ,112 
01003000," Lübeck, Hansestadt","12,829 ",293 ,"1,458 ","3,110 ","1,531 ","1,879 ",31 ,147 ,372 ,164 ,"2,797 ",52 ,444 ,814 ,517 ,192 ,2 ,23 ,42 ,25 ,"10,032 ",241 ,"1,014 ","2,296 ","1,014 ","1,687 ",29 ,124 ,330 ,139 
01004000," Neumünster, Stadt","4,470 ",148 ,604 ,992 ,536 ,595 ,13 ,47 ,94 ,48 ,"1,299 ",45 ,235 ,372 ,244 ,74 ,3 ,12 ,16 ,8 ,"3,171 ",103 ,370 ,620 ,292 ,521 ,10 ,36 ,79 ,40 
01051, Dithmarschen,"6,189 ",221 ,894 ,"1,422 ",738 ,316 ,9 ,35 ,52 ,24 ,"1,786 ",46 ,302 ,576 ,379 ,49 ,0 ,4 ,12 ,6 ,"4,403 ",175 ,593 ,846 ,359 ,267 ,8 ,31 ,40 ,18 
01051001, Albersdorf,165 ,5 ,23 ,29 ,11 ,6 ,0 ,0 ,0 ,0 ,34 ,1 ,5 ,7 ,3 ,2 ,0 ,0 ,0 ,0 ,131 ,5 ,17 ,22 ,8 ,4 ,0 ,0 ,0 ,0 
01051002, Arkebek,8 ,0 ,1 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,3 ,0 ,0 ,0 ,0 ,0 ,0 
01051003, Averlak,22 ,1 ,2 ,6 ,3 ,1 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,4 ,3 ,1 ,0 ,0 ,0 ,0 ,12 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
01051004, Bargenstedt,29 ,1 ,3 ,12 ,8 ,0 ,0 ,0 ,0 ,0 ,16 ,1 ,3 ,8 ,5 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,0 ,4 ,3 ,0 ,0 ,0 ,0 ,0 
01051005, Barkenholm,4 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
