,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbeitslose nach Gemeinden     Dezember 2013
Bestand an Arbeitslosen nach Rechtskreisen - Insgesamt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Länder, Regierungsbezirke, Kreise und Gemeinden in Deutschland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahreszahlen 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Rechtskreise SGB III und SGB II,,,,,,,,,, Rechtskreis SGB III,,,,,,,,,, Rechtskreis SGB II,,,,,,,,,
,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
, Deutschland,"2,950,250 ","46,518 ","276,262 ","950,875 ","570,727 ","504,440 ","7,839 ","39,046 ","112,500 ","60,959 ","969,598 ","13,662 ","122,775 ","371,036 ","261,892 ","108,795 ","1,209 ","12,790 ","24,551 ","15,904 ","1,980,652 ","32,856 ","153,487 ","579,840 ","308,835 ","395,645 ","6,630 ","26,257 ","87,949 ","45,055 "
01, Schleswig-Holstein,"101,748 ","2,150 ","11,166 ","30,943 ","18,051 ","11,259 ",177 ,825 ,"2,390 ","1,238 ","33,189 ",646 ,"4,898 ","12,078 ","8,273 ","1,923 ",23 ,190 ,484 ,314 ,"68,559 ","1,504 ","6,267 ","18,865 ","9,778 ","9,336 ",154 ,635 ,"1,906 ",925 
01001000," Flensburg, Stadt","5,205 ",123 ,642 ,"1,373 ",746 ,492 ,4 ,28 ,113 ,64 ,"1,329 ",29 ,197 ,441 ,300 ,101 ,1 ,6 ,36 ,27 ,"3,876 ",94 ,445 ,931 ,446 ,392 ,3 ,22 ,77 ,37 
01002000," Kiel, Landeshauptstadt","13,070 ",231 ,"1,251 ","3,460 ","1,830 ","2,108 ",29 ,139 ,392 ,176 ,"2,740 ",48 ,450 ,708 ,474 ,231 ,2 ,20 ,41 ,24 ,"10,330 ",183 ,801 ,"2,752 ","1,356 ","1,876 ",27 ,119 ,351 ,152 
01003000," Lübeck, Hansestadt","11,109 ",244 ,"1,212 ","3,020 ","1,578 ","1,693 ",32 ,136 ,350 ,164 ,"2,379 ",32 ,333 ,760 ,508 ,191 ,2 ,18 ,39 ,24 ,"8,730 ",212 ,879 ,"2,261 ","1,069 ","1,502 ",30 ,118 ,311 ,140 
01004000," Neumünster, Stadt","4,458 ",104 ,557 ,"1,200 ",671 ,630 ,8 ,36 ,125 ,60 ,"1,056 ",23 ,213 ,349 ,237 ,67 ,1 ,9 ,18 ,14 ,"3,403 ",81 ,344 ,851 ,434 ,563 ,7 ,27 ,108 ,46 
01051, Dithmarschen,"5,003 ",154 ,645 ,"1,422 ",797 ,291 ,6 ,22 ,55 ,28 ,"1,488 ",36 ,234 ,586 ,399 ,48 ,0 ,5 ,13 ,8 ,"3,514 ",118 ,411 ,836 ,397 ,242 ,6 ,17 ,43 ,20 
01051001, Albersdorf,153 ,6 ,25 ,33 ,17 ,6 ,0 ,1 ,0 ,0 ,32 ,1 ,6 ,10 ,7 ,0 ,0 ,0 ,0 ,0 ,120 ,5 ,19 ,23 ,10 ,6 ,0 ,1 ,0 ,0 
01051002, Arkebek,8 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
01051003, Averlak,15 ,1 ,3 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,1 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051004, Bargenstedt,25 ,0 ,2 ,11 ,4 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,6 ,3 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,1 ,5 ,2 ,0 ,0 ,0 ,0 ,0 
01051005, Barkenholm,5 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
