,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbeitslose nach Gemeinden     Jahreszahlen 2015
Bestand an Arbeitslosen nach Rechtskreisen - Insgesamt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Länder, Regierungsbezirke, Kreise und Gemeinden in Deutschland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahreszahlen/-durchschnitte 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Rechtskreise SGB III und SGB II,,,,,,,,,, Rechtskreis SGB III,,,,,,,,,, Rechtskreis SGB II,,,,,,,,,
,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,"50 Jahre 
und älter","55 bis unter
 65 Jahre",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,"50 Jahre 
und älter","55 bis unter
 65 Jahre",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,"50 Jahre 
und älter","55 bis unter
 65 Jahre",,15 bis unter 20 Jahre,15 bis unter 25 Jahre,"50 Jahre 
und älter","55 bis unter
 65 Jahre",,15 bis unter 20 Jahre,15 bis unter 25 Jahre,"50 Jahre 
und älter","55 bis unter
 65 Jahre",,15 bis unter 20 Jahre,15 bis unter 25 Jahre,"50 Jahre 
und älter","55 bis unter
 65 Jahre"
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
,Deutschland,"2,794,664 ","45,674 ","238,547 ","935,699 ","568,490 ","563,447 ","9,632 ","45,266 ","127,712 ","67,700 ","858,610 ","12,597 ","97,318 ","344,773 ","243,857 ","110,779 ","1,188 ","12,001 ","25,279 ","15,466 ","1,936,055 ","33,077 ","141,229 ","590,926 ","324,634 ","452,667 ","8,445 ","33,265 ","102,432 ","52,235 "
01,Schleswig-Holstein,"97,850 ","2,084 ","9,996 ","31,910 ","19,050 ","13,399 ",235 ,"1,085 ","2,910 ","1,498 ","30,092 ",609 ,"4,105 ","11,587 ","7,874 ","2,184 ",29 ,222 ,512 ,296 ,"67,757 ","1,475 ","5,891 ","20,324 ","11,177 ","11,216 ",207 ,863 ,"2,398 ","1,201 "
01001000,"Flensburg, Stadt","4,870 ",136 ,622 ,"1,250 ",677 ,602 ,10 ,60 ,107 ,58 ,"1,160 ",29 ,178 ,354 ,224 ,120 ,2 ,13 ,24 ,15 ,"3,710 ",107 ,443 ,896 ,453 ,482 ,9 ,47 ,82 ,43 
01002000,"Kiel, Landeshauptstadt","13,022 ",237 ,"1,167 ","3,700 ","2,088 ","2,665 ",53 ,217 ,511 ,249 ,"2,470 ",41 ,345 ,698 ,471 ,251 ,3 ,23 ,51 ,32 ,"10,552 ",197 ,821 ,"3,003 ","1,617 ","2,413 ",49 ,194 ,460 ,216 
01003000,"Lübeck, Hansestadt","10,858 ",197 ,974 ,"3,178 ","1,722 ","1,797 ",27 ,124 ,382 ,185 ,"2,290 ",35 ,297 ,779 ,514 ,216 ,1 ,22 ,50 ,26 ,"8,568 ",162 ,677 ,"2,399 ","1,207 ","1,581 ",26 ,102 ,332 ,159 
01004000,"Neumünster, Stadt","4,200 ",107 ,468 ,"1,260 ",714 ,694 ,7 ,34 ,160 ,74 ,879 ,26 ,173 ,293 ,202 ,76 ,2 ,10 ,16 ,10 ,"3,322 ",81 ,295 ,967 ,512 ,619 ,5 ,24 ,144 ,64 
01051,Dithmarschen,"4,890 ",154 ,636 ,"1,419 ",828 ,427 ,12 ,49 ,71 ,40 ,"1,423 ",34 ,199 ,612 ,429 ,68 ,2 ,8 ,19 ,11 ,"3,468 ",120 ,437 ,806 ,399 ,360 ,11 ,42 ,52 ,29 
01051001,Albersdorf,159 ,6 ,21 ,36 ,20 ,11 ,0 ,1 ,2 ,,35 ,2 ,5 ,13 ,9 ,2 ,,0 ,1 ,,123 ,4 ,16 ,23 ,11 ,9 ,0 ,1 ,1 ,
01051002,Arkebek,8 ,,1 ,4 ,3 ,,,,,,2 ,,1 ,1 ,,,,,,,6 ,,0 ,3 ,3 ,,,,,
01051003,Averlak,15 ,,2 ,3 ,3 ,1 ,,0 ,,,7 ,,2 ,2 ,1 ,1 ,,0 ,,,8 ,,1 ,2 ,2 ,,,,,
01051004,Bargenstedt,25 ,1 ,3 ,9 ,6 ,0 ,,,,,10 ,0 ,1 ,5 ,4 ,0 ,,,,,15 ,1 ,2 ,4 ,2 ,,,,,
01051005,Barkenholm,3 ,,0 ,1 ,1 ,,,,,,2 ,,0 ,,,,,,,,1 ,,0 ,1 ,1 ,,,,,
01051006,Barlt,22 ,0 ,2 ,4 ,4 ,4 ,,0 ,,,4 ,0 ,0 ,1 ,0 ,0 ,,,,,18 ,0 ,2 ,4 ,3 ,4 ,,0 ,,
01051010,Brickeln,8 ,,2 ,3 ,1 ,,,,,,2 ,,1 ,1 ,1 ,,,,,,6 ,,2 ,2 ,0 ,,,,,
