ags,gdp_nominal_1992,gdp_nominal_1994,gdp_nominal_1995,gdp_nominal_1996,gdp_nominal_1997,gdp_nominal_1998,gdp_nominal_1999,gdp_nominal_2000,gdp_nominal_2001,gdp_nominal_2002,gdp_nominal_2003,gdp_nominal_2004,gdp_nominal_2005,gdp_nominal_2006,gdp_nominal_2007,gdp_nominal_2008,gdp_nominal_2009,gdp_nominal_2010,gdp_nominal_2011,gdp_nominal_2012,gdp_nominal_2013,gdp_nominal_2014,gdp_nominal_2015,gdp_nominal_2016,wage_nominal2000,wage_nominal2001,wage_nominal2002,wage_nominal2003,wage_nominal2004,wage_nominal2005,wage_nominal2006,wage_nominal2007,wage_nominal2008,wage_nominal2009,wage_nominal2010,wage_nominal2011,wage_nominal2012,wage_nominal2013,wage_nominal2014,wage_nominal2015,wage_nominal2016,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,relig_cath_2011,relig_prot_2011,relig_other_2011,unem_tot_2011,unem_foreign_2011,unem_handicapped_2011,unem_age_15_20_2011,unem_age_15_25_2011,unem_age_55_65_2011,unem_longterm_2011,unem_rate_dependent_2011,unem_rate_tot_2011,unem_rate_male_2011,unem_rate_female_2011,unem_rate_foreign_2011,unem_rate_age_15_25_2011
08111,32014.381,30887.922,31479.096,31988.062,33589.647,32711.758,34128.166,34271.512,37259.226,38469.214,39645.644,39213.373,38392.525,41295.843,43095.217,40411.6,37712.143,42065.753,44182.602,45458.043,46062.994,47248.294,51254.82,51571.02,17680.716,18254.023,18702.228,19046.33,18939.161,19031.246,19439.088,19843.474,20180.606,19742.586,20046.956,21018.803,22118.916,22666.616,23638.716,24909.955,25780.309,601646,606588,591015,597939,604297,612441,623738,628032,0.2474440594650873,0.28581474338186347,0.4667411971530492,16180,6295,879,175,944,2750,5802,6.1,5.5,5.6,5.4,9.8,3.1
08115,11977.21,11750.939,11867.928,12025.594,13820.068,13545.587,14308.878,13753.348,15148.254,14572.413,14865.796,14356.648,12849.903,14704.724,17725.113,17115.11,14733.627,18403.371,19777.597,19507.687,20549.425,21919.646,24880.382,25179.918,7421.699,7829.637,8038.349,8251.412,8322.493,8157.583,8618.289,8453.901,8627.564,8241.308,8751.938,9276.455,9614.347,9983.111,10337.85,11040.136,11655.062,371616,371396,364458,367208,370392,374279,381281,385888,0.2359197691990658,0.3843577414480011,0.3797197417227641,7451,2352,436,91,535,1610,2445,4.3,3.8,3.5,4.2,8.2,2.5
08116,12212.272,12462.454,12748.133,13166.955,13291.103,13937.165,14189.823,14404.735,15440.484,14814.152,15197.849,15164.298,15213.322,16189.224,17183.255,17588.857,15533.293,17019.708,18113.7,18635.785,18590.378,19441.855,20594.191,20787.425,7854.722,8068.812,8163.539,8242.778,8265.43,8259.592,8437.383,8639.864,8968.209,8595.862,8819.415,9280.609,9755.968,10026.626,10315.328,10927.527,11366.009,514109,514830,504961,508577,512279,516779,524127,528792,0.22957215465746125,0.4008415325755828,0.3695883012654805,10820,3261,687,155,878,2231,3844,4.5,4,3.7,4.3,8.9,3
08117,5119.553,5264.932,5546.529,5746.7,5775.744,5944.807,6032.456,6119.063,6164.443,6218.688,6320.541,6257.565,6180.212,6457.367,6797.122,6972.486,6294.134,6720.163,7003.959,7154.972,7553.849,7956.42,8521.762,8561.078,3396.586,3427.798,3423.431,3454.473,3419.77,3335.843,3392.06,3501.078,3617.66,3436.493,3524.292,3699.533,3918.318,4159.493,4385.12,4586.079,4710.832,253522,252548,247194,247835,248813,250117,252749,254618,0.3428102567419,0.35085365064993856,0.30633205070167496,5749,1526,485,103,546,1458,1680,4.9,4.4,4.2,4.6,9.6,3.5
08118,11486.777,11965.535,12571.231,12707.628,12962.809,13324.504,13663.919,14440.461,15316.573,15448.895,15532.403,15565.359,15960.676,16934.715,17916.985,18232.093,16806.094,18189.255,19003.659,19870.681,20597.372,21891.819,22961.11,23847.516,7188.414,7394.62,7577.856,7653.573,7651.308,7631.077,7832.573,8065.398,8451.706,8233.168,8449.825,8862.358,9272.355,9626.625,10151.37,10710.911,11129.9,516874,517985,512086,516748,521633,526377,534074,537902,0.22444696795856206,0.39954615971490826,0.37600687232652963,10721,3255,830,142,885,2478,3386,4.3,3.9,3.6,4.2,8,2.9
08119,8487.681,8743.891,9358.427,8816.525,8974.564,9213.865,9749.793,10418.242,10477.7,10560.102,10438.039,10617.416,10679.087,11430.91,11614.158,11790.948,10910.694,11655.933,12240.101,12300.49,12658.607,13168.826,13664.369,14110.48,5399.856,5520.598,5541.613,5516.518,5490.718,5473.048,5574.211,5720.159,5927.798,5662.402,5820.422,6134.868,6353.809,6593.641,6732.686,7037.136,7397.246,415696,415448,407150,408827,411025,414016,419456,422698,0.21952987902888854,0.42905174574929833,0.35141837522181313,8943,2626,574,89,606,1942,3149,4.6,4.1,3.9,4.3,9.4,2.5
08121,4214.178,4401.434,4546.145,4534.071,4606.848,5682.316,5323.236,5313.673,5488.078,5300.334,4730.727,4785.01,4897.386,5092.149,5125.147,5280.974,5136.036,5538.32,5587.956,5664.93,5844.415,5987.047,6437.345,6405.286,2552.191,2556.528,2569.953,2598.722,2571.196,2570.841,2641.605,2747.315,2794.081,2759.108,2894.562,3021.908,3091.088,3174.425,3290.627,3453.146,3633.692,122415,122879,116716,117531,118122,119841,122567,123771,0.2310290455716489,0.35835221740666384,0.4106187370216872,3750,1258,308,53,264,680,1129,6.8,6.1,5.6,6.6,10.5,3.6
08125,6112.032,6195.431,6663.057,6900.646,7113.101,7737.732,8033.989,8566.847,8923.39,8861.983,9323.485,9540.629,9968.108,11157.788,11781.5,12126.604,11383.711,12048.52,13253.469,14338.225,15007.591,15487.101,16123.34,16003.405,4243.7,4427.52,4495.071,4503.641,4621.224,4645.492,4743.192,4947.413,5295.279,5177.19,5350.726,5801.485,6162.934,6390.057,6650.446,7065.192,7481.011,329054,328364,323168,324543,326035,329250,334388,337571,0.2579373069690934,0.44372713445328693,0.29834175415335906,6614,1421,506,94,522,1545,2151,4.1,3.7,3.2,4.3,8.3,2.3
08126,2286.22,2545.058,2588.695,2668.693,2693.628,2864.068,3004.91,3120.84,3216.188,3231.985,3239.454,3334.552,3436.094,3660.386,3925.855,3966.524,3775.341,3989.988,4334.74,4506.856,4571.925,4806.566,4993.895,5240.238,1746.866,1801.631,1793.336,1819.856,1833.659,1842.876,1910.93,1995.287,2109.162,2079.797,2189.145,2323.486,2435.249,2557.397,2665.333,2795.027,2918.789,109028,108913,107200,107498,107866,108816,110181,110689,0.29227528220807425,0.4724503397682678,0.23528369951248612,1713,244,144,22,138,421,567,3.2,2.8,2.5,3.2,6.2,1.8
08127,3485.833,3801.264,3897.35,3975.423,4023.896,4191.095,4449.236,4602.663,4631.223,4817.377,4700.981,4868.307,5172.174,5427.255,5797.584,6026.543,5865.64,6143.497,6299.714,6565.66,6776.146,7038.419,7458.924,7719.688,2623.584,2706.969,2711.614,2607.183,2632.066,2657.643,2763.698,2871.103,2982.547,2975.649,3082.554,3264.179,3412.491,3546.921,3699.151,3810.785,3962.413,188694,188420,186427,186928,187682,188974,191614,192958,0.20510316331732445,0.5613211343940329,0.2335649700839795,3339,446,324,61,342,767,888,3.7,3.3,3.1,3.5,8.1,2.6
