"land","name","area_km2","pop_tot","pop_male","pop_female","pop_density_km2","zip","lon","lat","ags","year","unem_tot","unem_foreigner","unem_capita"
"01","Flensburg, Stadt",56.74,83462,41034,42428,1471,"24937",9.437509,54.78252,"01001000",2012,5127,506,0.0614291533871702
"01","Kiel, Landeshauptstadt",118.65,239866,115982,123884,2022,"24103",10.13727,54.321775,"01002000",2012,12732,2037,0.0530796361301727
"01","Lübeck, Hansestadt",214.21,211713,100816,110897,988,"23539",10.683931,53.866269,"01003000",2012,11009,1624,0.051999641023461
"01","Neumünster, Stadt",71.63,76951,37546,39405,1074,"24534",9.984968,54.073921,"01004000",2012,4376,616,0.0568673571493548
"01","Brunsbüttel, Stadt",65.24,12758,6349,6409,196,"25541",9.126938,53.896664,"01051011",2012,561,34,0.0439724094685687
"01","Heide, Stadt",31.97,20894,9818,11076,654,"25746",9.0954,54.195833,"01051044",2012,1233,122,0.0590121565999809
"01","Averlak",9.07,615,318,297,68,"25715",9.182663,53.941153,"01051003",2012,18,1,0.0292682926829268
"01","Brickeln",6.07,217,107,110,36,"25712",9.221166,54.00849,"01051010",2012,5,0,0.0230414746543779
"01","Buchholz",14.55,1037,534,503,71,"25712",9.223593,53.987198,"01051012",2012,26,0,0.0250723240115718
"01","Burg (Dithmarschen)",11.23,4260,2077,2183,379,"25712",9.258097,53.995936,"01051016",2012,202,7,0.0474178403755869
"01","Dingen",7.02,639,320,319,91,"25715",9.125803,53.960888,"01051022",2012,12,0,0.0187793427230047
"01","Eddelak",9.21,1405,692,713,153,"25715",9.137788,53.945504,"01051024",2012,52,2,0.0370106761565836
"01","Eggstedt",12.79,776,381,395,61,"25721",9.259269,54.054534,"01051026",2012,23,0,0.029639175257732
"01","Frestedt",10.32,378,192,186,37,"25727",9.175759,54.023638,"01051032",2012,11,0,0.0291005291005291
"01","Großenrade",10.4,485,237,248,47,"25712",9.223435,54.022051,"01051037",2012,13,0,0.0268041237113402
"01","Hochdonn",5.46,1188,579,609,218,"25712",9.29316,54.019564,"01051051",2012,28,2,0.0235690235690236
"01","Kuden",11.36,625,320,305,55,"25712",9.192821,53.967852,"01051064",2012,14,0,0.0224
"01","Quickborn",6.95,181,87,94,26,"25712",9.206618,54.009975,"01051089",2012,4,0,0.0220994475138122
"01","Sankt Michaelisdonn",23.05,3499,1750,1749,152,"25693",9.122147,53.994437,"01051097",2012,108,4,0.0308659617033438
"01","Süderhastedt",15.74,843,403,440,54,"25727",9.208859,54.049909,"01051110",2012,17,0,0.0201660735468565
"01","Diekhusen-Fahrstedt",7.46,735,384,351,99,"25709",9.028338,53.942364,"01051021",2012,18,2,0.0244897959183673
"01","Friedrichskoog",53.35,2457,1211,1246,46,"25718",8.897409,54.013925,"01051034",2012,73,1,0.0297110297110297
"01","Helse",11.44,900,460,440,79,"25709",9.010226,53.977555,"01051046",2012,23,1,0.0255555555555556
"01","Kaiser-Wilhelm-Koog",13.06,345,177,168,26,"25709",8.926363,53.942933,"01051057",2012,9,0,0.0260869565217391
"01","Kronprinzenkoog",28.85,813,406,407,28,"25709",8.964497,53.971709,"01051062",2012,23,1,0.028290282902829
"01","Marne, Stadt",4.83,5652,2650,3002,1170,"25709",9.008761,53.953694,"01051072",2012,250,6,0.0442321302193914
"01","Marnerdeich",1.31,395,210,185,302,"25709",8.983063,53.948488,"01051073",2012,14,0,0.0354430379746835
"01","Neufeld",10.41,588,300,288,56,"25724",9.019045,53.907224,"01051076",2012,21,0,0.0357142857142857
"01","Neufelderkoog",9.76,126,64,62,13,"25724",8.96889,53.906887,"01051077",2012,2,0,0.0158730158730159
"01","Ramhusen",4.8,164,85,79,34,"25715",9.090658,53.941207,"01051090",2012,2,0,0.0121951219512195
"01","Schmedeswurth",5.91,197,107,90,33,"25724",9.041004,53.926611,"01051103",2012,4,0,0.0203045685279188
"01","Trennewurth",7.79,253,135,118,32,"25693",9.02715,54.000215,"01051118",2012,4,0,0.0158102766798419
"01","Volsemenhusen",16.77,352,183,169,21,"25693",9.065624,53.9679,"01051119",2012,7,0,0.0198863636363636
"01","Barkenholm",5.11,177,95,82,35,"25791",9.174339,54.237387,"01051005",2012,5,0,0.0282485875706215
"01","Bergewöhrden",2.64,37,16,21,14,"25779",9.209426,54.318469,"01051008",2012,1,0,0.027027027027027
"01","Dellstedt",21.77,751,386,365,34,"25786",9.369143,54.237892,"01051019",2012,26,1,0.0346205059920107
"01","Delve",15.84,698,359,339,44,"25788",9.252364,54.303977,"01051020",2012,19,1,0.0272206303724928
"01","Dörpling",7.82,601,303,298,77,"25794",9.301925,54.260654,"01051023",2012,22,0,0.0366056572379368
"01","Fedderingen",9.69,266,130,136,27,"25779",9.132642,54.281143,"01051030",2012,9,0,0.0338345864661654
"01","Gaushorn",6.45,180,89,91,28,"25782",9.225317,54.194895,"01051035",2012,8,1,0.0444444444444444
"01","Glüsing",4.69,111,63,48,24,"25779",9.216421,54.274546,"01051036",2012,2,0,0.018018018018018
"01","Groven",7.9,77,47,30,10,"25774",8.989147,54.300164,"01051038",2012,2,0,0.025974025974026
"01","Hemme",16.53,548,273,275,33,"25774",9.010966,54.280209,"01051047",2012,22,1,0.0401459854014599
"01","Hennstedt",21.93,1929,968,961,88,"25779",9.168248,54.283636,"01051049",2012,61,1,0.0316226023846553
"01","Hövede",2.94,61,32,29,21,"25782",9.293408,54.243806,"01051052",2012,1,0,0.0163934426229508
"01","Hollingstedt",9.74,308,149,159,32,"25788",9.226796,54.290547,"01051053",2012,10,0,0.0324675324675325
"01","Karolinenkoog",17.55,135,72,63,8,"25774",8.965425,54.292378,"01051058",2012,5,0,0.037037037037037
"01","Kleve",12.81,430,214,216,34,"25779",9.123184,54.295633,"01051060",2012,7,0,0.0162790697674419
"01","Krempel",4.83,603,305,298,125,"25774",9.027606,54.320019,"01051061",2012,27,0,0.0447761194029851
"01","Lehe",18.63,1063,526,537,57,"25774",9.025334,54.344167,"01051065",2012,40,1,0.0376293508936971
"01","Linden",11.62,870,439,431,75,"25791",9.182428,54.252623,"01051068",2012,20,1,0.0229885057471264
"01","Lunden",4.65,1737,871,866,374,"25774",9.024248,54.330567,"01051071",2012,118,2,0.0679332181922856
"01","Norderheistedt",4.33,146,72,74,34,"25779",9.146139,54.24533,"01051080",2012,10,0,0.0684931506849315
"01","Pahlen",10.8,1169,580,589,108,"25794",9.296387,54.267812,"01051088",2012,47,1,0.0402053036783576
"01","Rehm-Flehde-Bargen",14.62,528,266,262,36,"25776",9.038383,54.291775,"01051092",2012,20,1,0.0378787878787879
"01","Sankt Annen",14.89,329,171,158,22,"25776",9.07975,54.345413,"01051096",2012,11,0,0.033434650455927
"01","Schalkholz",12.5,594,294,300,48,"25782",9.257027,54.246244,"01051100",2012,20,0,0.0336700336700337
"01","Schlichting",12.5,231,119,112,18,"25776",9.089378,54.310139,"01051102",2012,10,1,0.0432900432900433
"01","Tellingstedt",21.1,2651,1319,1332,126,"25782",9.281892,54.219967,"01051114",2012,86,2,0.032440588457186
"01","Tielenhemme",12.71,173,86,87,14,"25794",9.378654,54.269463,"01051117",2012,1,0,0.00578034682080925
"01","Wallen",1.86,32,18,14,17,"25788",9.269538,54.284499,"01051120",2012,0,0,0
"01","Welmbüttel",7.6,459,228,231,60,"25782",9.246825,54.196873,"01051125",2012,18,1,0.0392156862745098
"01","Westerborstel",4.14,112,55,57,27,"25782",9.2606,54.220136,"01051131",2012,2,0,0.0178571428571429
"01","Wiemerstedt",5.08,160,81,79,31,"25779",9.111231,54.269296,"01051133",2012,2,0,0.0125
"01","Wrohm",11.45,679,356,323,59,"25799",9.379504,54.212641,"01051136",2012,25,0,0.0368188512518409
"01","Süderdorf",16.21,360,180,180,22,"25782",9.343789,54.207468,"01051139",2012,4,0,0.0111111111111111
"01","Süderheistedt",8.44,551,269,282,65,"25779",9.148462,54.234829,"01051141",2012,14,0,0.0254083484573503
"01","Hemmingstedt",16.01,2892,1464,1428,181,"25770",9.073155,54.14876,"01051048",2012,102,3,0.0352697095435685
"01","Lieth",4.66,410,181,229,88,"25770",9.060773,54.15531,"01051067",2012,9,0,0.0219512195121951
"01","Lohe-Rickelshof",5.39,2069,983,1086,384,"25746",9.065768,54.187792,"01051069",2012,54,2,0.0260995650072499
"01","Neuenkirchen",25.14,1012,517,495,40,"25792",8.988144,54.23565,"01051075",2012,37,0,0.0365612648221344
"01","Norderwöhrden",18.47,296,160,136,16,"25746",9.000231,54.192782,"01051081",2012,3,0,0.0101351351351351
"01","Nordhastedt",26.56,2751,1372,1379,104,"25785",9.18191,54.17184,"01051082",2012,75,4,0.0272628135223555
"01","Ostrohe",6.67,945,473,472,142,"25746",9.130804,54.213999,"01051087",2012,22,0,0.0232804232804233
"01","Stelle-Wittenwurth",10.71,455,213,242,42,"25795",9.061114,54.262553,"01051107",2012,18,0,0.0395604395604396
"01","Wöhrden",21.77,1290,650,640,59,"25797",8.994507,54.165462,"01051113",2012,42,3,0.0325581395348837
"01","Weddingstedt",17.79,2280,1124,1156,128,"25795",9.088862,54.239275,"01051122",2012,60,1,0.0263157894736842
"01","Wesseln",3.76,1403,715,688,373,"25746",9.075442,54.208326,"01051130",2012,20,0,0.0142551674982181
"01","Albersdorf",17.12,3523,1716,1807,206,"25767",9.283995,54.146556,"01051001",2012,163,6,0.0462673857507806
"01","Arkebek",6.92,214,106,108,31,"25767",9.250324,54.159662,"01051002",2012,15,1,0.0700934579439252
"01","Bargenstedt",11.9,910,430,480,76,"25704",9.144198,54.095593,"01051004",2012,26,0,0.0285714285714286
"01","Barlt",22.88,805,406,399,35,"25719",9.058002,54.012443,"01051006",2012,27,1,0.0335403726708075
"01","Bunsoh",11.75,809,413,396,69,"25767",9.320225,54.165522,"01051015",2012,25,0,0.030902348578492
"01","Busenwurth",10.09,282,151,131,28,"25719",9.041309,54.041611,"01051017",2012,10,0,0.0354609929078014
"01","Elpersbüttel",30.17,869,450,419,29,"25704",9.047155,54.072963,"01051027",2012,26,1,0.0299194476409666
"01","Epenwöhrden",13.52,765,379,386,57,"25704",9.052894,54.112805,"01051028",2012,26,0,0.0339869281045752
"01","Gudendorf",6.04,386,192,194,64,"25693",9.108199,54.024745,"01051039",2012,11,1,0.0284974093264249
