"land","name","area_km2","pop_tot","pop_male","pop_female","pop_density_km2","zip","lon","lat","ags","year","east","unem_tot","unem_foreigner","unem_capita"
"01","Flensburg, Stadt",56.74,83971,41344,42627,1480,"24937",9.43751,54.78252,"01001000",2013,0,5205,492,0.0619856855342916
"01","Kiel, Landeshauptstadt",118.65,241533,117071,124462,2036,"24103",10.13727,54.321775,"01002000",2013,0,13070,2108,0.054112688535314
"01","Lübeck, Hansestadt",214.21,212958,101689,111269,994,"23539",10.683932,53.866269,"01003000",2013,0,11109,1693,0.0521652156763305
"01","Neumünster, Stadt",71.63,77058,37585,39473,1076,"24534",9.988422,54.069895,"01004000",2013,0,4458,630,0.0578525266682239
"01","Brunsbüttel, Stadt",65.24,12721,6358,6363,195,"25541",9.126939,53.896665,"01051011",2013,0,542,32,0.0426067133087021
"01","Heide, Stadt",31.97,21105,9911,11194,660,"25746",9.095401,54.195834,"01051044",2013,0,1155,123,0.054726368159204
"01","Averlak",9.07,581,296,285,64,"25715",9.182663,53.941154,"01051003",2013,0,15,0,0.0258175559380379
"01","Brickeln",6.07,210,104,106,35,"25712",9.221166,54.00849,"01051010",2013,0,6,0,0.0285714285714286
"01","Buchholz",14.55,1020,525,495,70,"25712",9.223594,53.987198,"01051012",2013,0,22,0,0.0215686274509804
"01","Burg (Dithmarschen)",11.23,4187,2048,2139,373,"25712",9.258097,53.995937,"01051016",2013,0,202,7,0.0482445665154048
"01","Dingen",7.02,642,328,314,91,"25715",9.125804,53.960888,"01051022",2013,0,18,0,0.0280373831775701
"01","Eddelak",9.21,1349,649,700,146,"25715",9.137789,53.945505,"01051024",2013,0,45,1,0.033358042994811
"01","Eggstedt",12.79,782,391,391,61,"25721",9.25927,54.054535,"01051026",2013,0,30,2,0.0383631713554987
"01","Frestedt",10.32,378,189,189,37,"25727",9.175759,54.023639,"01051032",2013,0,9,0,0.0238095238095238
"01","Großenrade",10.4,490,239,251,47,"25712",9.223436,54.022051,"01051037",2013,0,13,0,0.026530612244898
"01","Hochdonn",5.46,1174,578,596,215,"25712",9.29316,54.019565,"01051051",2013,0,47,2,0.0400340715502555
"01","Kuden",11.37,604,318,286,53,"25712",9.192822,53.967853,"01051064",2013,0,15,0,0.0248344370860927
"01","Quickborn",6.95,184,89,95,26,"25712",9.206619,54.009975,"01051089",2013,0,4,0,0.0217391304347826
"01","Sankt Michaelisdonn",23.05,3518,1743,1775,153,"25693",9.122148,53.994438,"01051097",2013,0,114,7,0.0324047754405912
"01","Süderhastedt",15.74,867,415,452,55,"25727",9.20886,54.04991,"01051110",2013,0,20,0,0.0230680507497117
"01","Diekhusen-Fahrstedt",7.46,727,377,350,97,"25709",9.028338,53.942365,"01051021",2013,0,18,2,0.0247592847317744
"01","Friedrichskoog",53.35,2475,1232,1243,46,"25718",8.89741,54.013926,"01051034",2013,0,74,0,0.0298989898989899
"01","Helse",11.44,865,440,425,76,"25709",9.010226,53.977556,"01051046",2013,0,22,2,0.0254335260115607
"01","Kaiser-Wilhelm-Koog",13.06,342,175,167,26,"25709",8.926364,53.942933,"01051057",2013,0,8,0,0.0233918128654971
"01","Kronprinzenkoog",28.85,827,410,417,29,"25709",8.964498,53.971709,"01051062",2013,0,27,1,0.0326481257557437
"01","Marne, Stadt",4.83,5590,2634,2956,1157,"25709",9.008761,53.953695,"01051072",2013,0,227,10,0.040608228980322
"01","Marnerdeich",1.31,392,210,182,299,"25709",8.983064,53.948488,"01051073",2013,0,13,0,0.0331632653061225
"01","Neufeld",10.41,609,310,299,59,"25724",9.019046,53.907224,"01051076",2013,0,13,0,0.0213464696223317
"01","Neufelderkoog",9.76,123,64,59,13,"25724",8.968891,53.906887,"01051077",2013,0,3,0,0.024390243902439
"01","Ramhusen",4.8,157,80,77,33,"25715",9.090658,53.941207,"01051090",2013,0,4,1,0.0254777070063694
"01","Schmedeswurth",5.91,195,105,90,33,"25724",9.041005,53.926611,"01051103",2013,0,4,0,0.0205128205128205
"01","Trennewurth",7.79,255,137,118,33,"25693",9.02715,54.000216,"01051118",2013,0,3,0,0.0117647058823529
"01","Volsemenhusen",16.77,364,189,175,22,"25693",9.065625,53.967901,"01051119",2013,0,5,0,0.0137362637362637
"01","Barkenholm",5.11,177,93,84,35,"25791",9.174339,54.237387,"01051005",2013,0,5,0,0.0282485875706215
"01","Bergewöhrden",2.64,38,19,19,14,"25779",9.209426,54.318469,"01051008",2013,0,2,0,0.0526315789473684
"01","Dellstedt",21.77,736,382,354,34,"25786",9.369143,54.237892,"01051019",2013,0,25,1,0.0339673913043478
"01","Delve",15.84,696,348,348,44,"25788",9.252365,54.303978,"01051020",2013,0,20,1,0.028735632183908
"01","Dörpling",7.82,603,309,294,77,"25794",9.301925,54.260654,"01051023",2013,0,15,1,0.0248756218905473
"01","Fedderingen",9.69,269,129,140,28,"25779",9.132642,54.281144,"01051030",2013,0,7,1,0.0260223048327138
"01","Gaushorn",6.45,186,88,98,29,"25782",9.225318,54.194896,"01051035",2013,0,7,1,0.0376344086021505
"01","Glüsing",4.69,116,65,51,25,"25779",9.216421,54.274547,"01051036",2013,0,4,0,0.0344827586206897
"01","Groven",7.9,80,49,31,10,"25774",8.989147,54.300165,"01051038",2013,0,NA,NA,NA
"01","Hemme",16.53,504,259,245,30,"25774",9.010966,54.28021,"01051047",2013,0,23,0,0.0456349206349206
"01","Hennstedt",21.93,1939,977,962,88,"25779",9.168248,54.283636,"01051049",2013,0,65,1,0.0335224342444559
"01","Hövede",2.94,61,31,30,21,"25782",9.293409,54.243806,"01051052",2013,0,2,0,0.0327868852459016
"01","Hollingstedt",9.74,304,153,151,31,"25788",9.226797,54.290548,"01051053",2013,0,8,0,0.0263157894736842
"01","Karolinenkoog",17.55,141,78,63,8,"25774",8.965425,54.292379,"01051058",2013,0,4,0,0.0283687943262411
"01","Kleve",12.81,431,218,213,34,"25779",9.123185,54.295634,"01051060",2013,0,9,0,0.0208816705336427
"01","Krempel",4.83,602,307,295,125,"25774",9.027607,54.320019,"01051061",2013,0,29,0,0.0481727574750831
"01","Lehe",18.63,1070,531,539,57,"25774",9.025334,54.344168,"01051065",2013,0,31,0,0.0289719626168224
"01","Linden",11.62,871,442,429,75,"25791",9.182428,54.252623,"01051068",2013,0,17,1,0.0195177956371986
"01","Lunden",4.65,1680,851,829,361,"25774",9.024249,54.330568,"01051071",2013,0,114,3,0.0678571428571429
"01","Norderheistedt",4.33,149,74,75,34,"25779",9.146139,54.245331,"01051080",2013,0,10,0,0.0671140939597315
"01","Pahlen",10.8,1165,583,582,108,"25794",9.296387,54.267813,"01051088",2013,0,39,1,0.0334763948497854
"01","Rehm-Flehde-Bargen",14.62,496,250,246,34,"25776",9.038383,54.291775,"01051092",2013,0,18,0,0.0362903225806452
"01","Sankt Annen",14.89,321,167,154,22,"25776",9.07975,54.345413,"01051096",2013,0,10,0,0.0311526479750779
"01","Schalkholz",12.5,602,303,299,48,"25782",9.257028,54.246244,"01051100",2013,0,22,1,0.0365448504983389
"01","Schlichting",12.5,233,125,108,19,"25776",9.089378,54.31014,"01051102",2013,0,16,1,0.0686695278969957
"01","Tellingstedt",21.1,2627,1299,1328,125,"25782",9.281893,54.219968,"01051114",2013,0,84,2,0.0319756376094404
"01","Tielenhemme",12.71,174,85,89,14,"25794",9.378654,54.269463,"01051117",2013,0,3,0,0.0172413793103448
"01","Wallen",1.86,36,18,18,19,"25788",9.269538,54.2845,"01051120",2013,0,0,0,0
"01","Welmbüttel",7.6,462,230,232,61,"25782",9.246826,54.196873,"01051125",2013,0,18,2,0.038961038961039
"01","Westerborstel",4.14,108,51,57,26,"25782",9.260601,54.220136,"01051131",2013,0,2,0,0.0185185185185185
"01","Wiemerstedt",5.08,157,78,79,31,"25779",9.111231,54.269297,"01051133",2013,0,4,0,0.0254777070063694
"01","Wrohm",11.45,678,359,319,59,"25799",9.379505,54.212642,"01051136",2013,0,20,1,0.0294985250737463
"01","Süderdorf",16.21,374,185,189,23,"25782",9.343789,54.207468,"01051139",2013,0,3,0,0.00802139037433155
"01","Süderheistedt",8.44,551,273,278,65,"25779",9.148463,54.23483,"01051141",2013,0,13,1,0.0235934664246824
"01","Hemmingstedt",16.01,2860,1443,1417,179,"25770",9.073156,54.14876,"01051048",2013,0,97,4,0.0339160839160839
"01","Lieth",4.66,403,183,220,86,"25770",9.060773,54.15531,"01051067",2013,0,10,1,0.0248138957816377
"01","Lohe-Rickelshof",5.39,2072,983,1089,384,"25746",9.065769,54.187792,"01051069",2013,0,43,1,0.0207528957528958
"01","Neuenkirchen",25.14,1002,519,483,40,"25792",8.988145,54.235651,"01051075",2013,0,29,0,0.0289421157684631
"01","Norderwöhrden",18.47,300,159,141,16,"25746",9.000232,54.192783,"01051081",2013,0,3,0,0.01
"01","Nordhastedt",26.56,2754,1369,1385,104,"25785",9.181911,54.171841,"01051082",2013,0,71,4,0.0257806826434277
"01","Ostrohe",6.67,943,472,471,141,"25746",9.130804,54.214,"01051087",2013,0,19,0,0.0201484623541888
"01","Stelle-Wittenwurth",10.71,443,203,240,41,"25795",9.061114,54.262554,"01051107",2013,0,13,0,0.0293453724604966
"01","Wöhrden",21.77,1259,638,621,58,"25797",8.994508,54.165463,"01051113",2013,0,34,2,0.0270055599682288
"01","Weddingstedt",17.79,2291,1127,1164,129,"25795",9.088863,54.239275,"01051122",2013,0,55,1,0.0240069838498472
"01","Wesseln",3.76,1418,715,703,377,"25746",9.075443,54.208327,"01051130",2013,0,19,0,0.0133991537376587
"01","Albersdorf",17.12,3433,1665,1768,201,"25767",9.283995,54.146557,"01051001",2013,0,153,6,0.0445674337314302
"01","Arkebek",6.92,219,109,110,32,"25767",9.250325,54.159662,"01051002",2013,0,8,0,0.0365296803652968
"01","Bargenstedt",11.9,929,445,484,78,"25704",9.144199,54.095594,"01051004",2013,0,25,0,0.0269106566200215
"01","Barlt",22.88,794,397,397,35,"25719",9.058002,54.012444,"01051006",2013,0,25,2,0.0314861460957179
"01","Bunsoh",11.75,786,396,390,67,"25767",9.320225,54.165522,"01051015",2013,0,24,0,0.0305343511450382
"01","Busenwurth",10.09,298,162,136,30,"25719",9.04131,54.041612,"01051017",2013,0,9,2,0.0302013422818792
"01","Elpersbüttel",30.17,870,453,417,29,"25704",9.047156,54.072963,"01051027",2013,0,23,0,0.0264367816091954
"01","Epenwöhrden",13.52,757,369,388,56,"25704",9.052894,54.112805,"01051028",2013,0,23,1,0.0303830911492734
"01","Gudendorf",6.04,379,189,190,63,"25693",9.1082,54.024745,"01051039",2013,0,7,0,0.0184696569920844
"01","Immenstedt",3.09,96,46,50,31,"25767",9.299737,54.180686,"01051054",2013,0,1,0,0.0104166666666667
"01","Krumstedt",15.89,505,247,258,32,"25727",9.177954,54.068684,"01051063",2013,0,13,0,0.0257425742574257
"01","Meldorf, Stadt",21.25,7294,3498,3796,343,"25704",9.068784,54.090945,"01051074",2013,0,316,21,0.0433232794077324
"01","Nindorf",8.73,1168,587,581,134,"25704",9.114943,54.086722,"01051078",2013,0,22,1,0.0188356164383562
"01","Odderade",11.26,321,166,155,29,"25785",9.190795,54.139384,"01051083",2013,0,12,0,0.0373831775700935
"01","Offenbüttel",13.95,265,133,132,19,"25767",9.358039,54.169258,"01051085",2013,0,5,0,0.0188679245283019
"01","Osterrade",17.09,396,201,195,23,"25767",9.353264,54.190212,"01051086",2013,0,13,0,0.0328282828282828
"01","Sarzbüttel",13.39,709,356,353,53,"25785",9.184289,54.118971,"01051098",2013,0,23,1,0.0324400564174894
"01","Schafstedt",18.16,1307,663,644,72,"25725",9.293675,54.079915,"01051099",2013,0,32,1,0.0244835501147666
"01","Schrum",5,71,40,31,14,"25782",9.251667,54.187229,"01051104",2013,0,2,0,0.028169014084507
"01","Wennbüttel",4.59,85,40,45,19,"25767",9.32237,54.137969,"01051126",2013,0,0,0,0
"01","Windbergen",17.31,808,413,395,47,"25729",9.117929,54.044949,"01051134",2013,0,29,2,0.0358910891089109
"01","Wolmersdorf",6.1,342,170,172,56,"25704",9.103978,54.077114,"01051135",2013,0,5,1,0.0146198830409357
"01","Nordermeldorf",34.1,596,310,286,17,"25704",9.013655,54.104638,"01051137",2013,0,19,0,0.0318791946308725
"01","Tensbüttel-Röst",19.36,670,329,341,35,"25767",9.237322,54.116572,"01051138",2013,0,15,1,0.0223880597014925
"01","Büsum",8.48,4782,2224,2558,564,"25761",8.860613,54.129253,"01051013",2013,0,185,9,0.0386867419489753
"01","Büsumer Deichhausen",2.87,371,168,203,129,"25761",8.890088,54.136175,"01051014",2013,0,11,1,0.0296495956873315
"01","Friedrichsgabekoog",8.62,49,25,24,6,"25764",8.941082,54.157516,"01051033",2013,0,1,0,0.0204081632653061
"01","Hedwigenkoog",16.36,236,108,128,14,"25761",8.840953,54.177985,"01051043",2013,0,5,0,0.0211864406779661
"01","Hellschen-Heringsand-Unterschaar",7.02,169,87,82,24,"25764",8.872882,54.194536,"01051045",2013,0,4,0,0.0236686390532544
"01","Hillgroven",3.6,73,44,29,20,"25764",8.874901,54.227921,"01051050",2013,0,1,0,0.0136986301369863
"01","Norddeich",6.9,409,217,192,59,"25764",8.899964,54.218058,"01051079",2013,0,19,0,0.0464547677261614
"01","Oesterdeichstrich",4.63,254,130,124,55,"25761",8.900566,54.158891,"01051084",2013,0,9,1,0.0354330708661417
"01","Reinsbüttel",6.83,441,216,225,65,"25764",8.911057,54.179073,"01051093",2013,0,8,0,0.018140589569161
"01","Schülp",9.27,454,236,218,49,"25764",8.92997,54.241672,"01051105",2013,0,18,0,0.039647577092511
"01","Strübbel",4.4,85,38,47,19,"25792",8.971812,54.260389,"01051108",2013,0,4,0,0.0470588235294118
